198|29|15g
198|34|10g
198|201|20g
198|65|60g
198|104|30g
198|88|90g
198|160|4g
198|20|0.9g
198|31|0.05g
198|202|4g
199|174|30g
199|203|70g
199|29|10g
199|34|10g
199|3|60g
199|1|60g
199|88|80g
199|99|3g
199|7|3g
199|190|1g
199|150|3g
199|19|4g
199|26|4g
199|31|0.05g
199|15|0.5g
199|142|4g
199|204|1g
199|14|0.5g
199|127|5g
200|1|100g
200|3|60g
200|2|40g
200|37|30g
200|18|25g
200|205|20g
200|183|15g
200|143|12g
200|19|10g
200|149|3g
200|15|2g
200|14|2g
200|26|1g
200|4|1g
200|20|0.5g
201|1|100g
201|3|60g
201|29|15g
201|7|5g
201|34|5g
201|127|3g
201|9|1g
201|23|1g
202|1|50g
202|206|30g
202|3|5g
202|23|5g
202|29|5g
202|127|3.5g
202|175|2g
202|207|2g
202|190|1g
203|1|40g
203|3|20g
203|83|12g
203|208|10g
203|209|10g
203|34|8g
203|75|5g
203|175|4g
203|187|1g
203|7|0.5g
203|26|0.5g
203|210|0.3g
203|14|0.3g
203|144|0.2g
204|1|70g
204|211|40g
204|18|20g
204|212|10g
204|213|5g
204|96|5g
204|134|3g
204|214|3g
204|7|2g
204|4|2g
204|215|2g
204|15|1g
204|26|0.5g
204|19|0.3g
204|14|0.1g
205|1|55g
205|37|10g
205|2|10g
205|127|3g
205|7|2g
205|14|2g
205|26|0.1g
206|1|100g
206|216|70g
206|2|50g
206|96|20g
206|29|10g
206|217|5g
206|187|5g
206|4|3g
206|26|2g
206|15|1g
206|127|1g
206|14|0.5g
206|9|0.3g
206|7|0.3g
206|8|0.3g
207|1|30g
207|3|15g
207|127|1g
207|20|0.3g
208|1|52g
208|218|15g
208|29|5g
208|219|3g
208|34|2g
208|190|1g
208|127|1g
208|196|1g
208|175|1g
208|207|1g
208|150|0.5g
208|7|0.5g
208|26|0.5g
208|14|0.3g
208|32|0.1g
208|31|0.01g
209|88|90g
209|1|70g
209|220|50g
209|90|50g
209|221|35g
209|7|6g
209|150|3g
209|99|3g
209|29|2g
209|19|2g
209|144|1g
209|4|1g
209|222|0.1g
209|26|0.1g
210|1|35g
210|223|23g
210|175|5g
210|154|5g
210|29|5g
210|34|4g
210|190|1g
210|127|1g
210|86|0.5g
210|26|0.5g
210|14|0.3g
211|1|80g
211|3|20g
211|175|10g
211|29|10g
211|224|7g
211|196|7g
211|207|7g
211|190|5g
211|127|3g
212|1|100g
212|177|60g
212|3|55g
212|106|30g
212|178|20g
212|96|5g
212|29|5g
212|34|3g
212|149|2g
212|26|1g
212|14|1g
213|1|50g
213|225|20g
213|154|10g
213|178|5g
213|29|5g
213|34|5g
213|7|0.5g
213|127|0.5g
213|26|0.5g
213|14|0.3g
214|1|55g
214|3|10g
214|29|10g
214|175|3g
214|34|3g
214|127|1g
214|20|0.3g
215|2|60g
215|1|55g
215|183|40g
215|18|40g
215|34|40g
215|226|15g
215|26|5g
215|95|5g
215|7|1g
215|127|1g
215|8|0.5g
215|14|0.1g
216|1|45g
216|11|15g
216|223|15g
216|29|5g
216|75|5g
216|34|3g
216|127|2g
216|196|2g
216|175|2g
216|190|1g
216|19|0.5g
216|26|0.2g
216|14|0.2g
216|32|0.1g
217|1|50g
217|227|40g
217|208|10g
217|143|10g
217|15|3g
217|7|3g
217|127|2g
217|26|1g
217|4|1g
217|99|0.5g
218|1|50g
218|213|15g
218|75|10g
218|209|5g
218|29|5g
218|175|3g
218|34|3g
218|228|1g
218|26|0.5g
218|19|0.5g
218|229|0.3g
218|127|0.1g
219|1|70g
219|36|50g
219|18|20g
219|29|10g
219|213|5g
219|134|3g
219|7|2g
219|4|2g
219|15|1g
219|26|0.5g
219|19|0.3g
220|1|90g
220|114|15g
220|34|15g
220|230|10g
220|231|10g
220|232|10g
220|119|10g
220|127|4g
220|14|3g
220|9|1g
220|7|1g
221|1|90g
221|233|20g
221|152|20g
221|234|20g
221|235|10g
221|143|5g
221|34|5g
221|7|2g
221|4|2g
221|26|1g
221|236|1g
221|19|1g
222|1|60g
222|237|20g
222|29|10g
222|176|5g
222|34|5g
222|196|2g
222|175|2g
222|190|1g
222|19|0.2g
222|222|0.1g
222|20|0.1g
223|10|150g
223|3|30g
223|223|30g
223|190|5g
223|26|3g
223|4|2g
223|7|1g
223|238|1g
223|19|1g
224|1|45g
224|3|10g
224|239|5g
224|29|5g
224|34|5g
224|75|5g
224|196|3g
224|175|3g
224|190|1g
224|127|1g
224|32|0.3g
224|19|0.3g
224|31|0.1g
225|1|55g
225|240|20g
225|241|15g
225|178|15g
225|242|15g
225|29|15g
225|141|10g
225|3|5g
225|34|5g
225|190|3.5g
225|196|2g
225|175|1.5g
225|127|1g
225|19|0.7g
225|26|0.5g
225|243|0.5g
225|14|0.2g
226|190|75g
226|1|70g
226|3|20g
226|29|10g
226|175|7g
226|224|5g
226|196|5g
226|207|5g
226|127|3g
227|1|50g
227|3|15g
227|208|10g
227|23|5g
227|190|1g
227|127|1g
228|1|80g
228|208|20g
228|175|10g
228|29|10g
228|224|7g
228|196|7g
228|207|7g
228|127|5g
228|9|1g
229|1|55g
229|206|40g
229|3|15g
229|4|5g
229|34|5g
229|7|3g
229|127|3g
229|26|0.1g
230|1|70g
230|3|25g
230|244|10g
230|175|5g
230|29|5g
230|34|5g
230|127|2g
230|190|1g
230|26|0.5g
230|9|0.2g
230|31|0.02g
231|211|100g
231|1|90g
231|18|20g
231|212|10g
231|213|5g
231|96|5g
231|134|3g
231|214|3g
231|7|2g
231|4|2g
231|215|2g
231|15|1g
231|26|0.5g
231|19|0.3g
231|14|0.1g
232|1|60g
232|28|15g
232|18|15g
232|178|10g
232|37|10g
232|183|10g
232|29|10g
232|34|10g
232|245|3g
232|127|2g
232|26|2g
232|14|0.3g
232|7|0.2g
232|9|0.02g
233|216|80g
233|1|70g
233|2|50g
233|96|20g
233|29|10g
233|217|5g
233|187|5g
233|4|3g
233|15|1g
233|127|1g
233|26|0.5g
233|14|0.5g
233|164|0.5g
233|9|0.3g
233|7|0.3g
233|8|0.3g
234|3|68g
234|1|60g
234|246|10g
234|214|5g
234|229|2g
234|247|2g
234|26|0.5g
234|14|0.3g
235|78|50g
235|1|50g
235|127|5g
235|207|5g
235|29|5g
235|34|5g
235|7|1g
235|99|1g
235|19|1g
235|14|0.3g
235|31|0.1g
235|86|0.1g
236|1|90g
236|248|50g
236|13|40g
236|249|20g
236|75|10g
236|26|2g
236|7|1g
236|99|1g
236|187|1g
236|23|1g
236|34|1g
236|32|0.2g
237|163|35g
237|1|35g
237|202|10g
237|29|7g
237|127|6g
237|34|5g
237|247|2g
238|177|60g
238|1|60g
238|106|30g
238|114|10g
238|169|10g
238|96|5g
239|1|60g
239|223|20g
239|250|10g
239|154|10g
239|29|10g
239|34|10g
239|4|3g
239|127|2g
239|8|1g
239|14|0.5g
239|9|0.3g
240|1|80g
240|3|55g
240|106|30g
240|178|20g
240|96|5g
240|29|5g
240|34|3g
240|149|1g
240|26|1g
240|14|1g
241|1|50g
241|177|40g
241|249|15g
241|71|10g
241|96|5g
241|26|3g
241|143|2g
241|14|2g
242|177|60g
242|111|60g
242|71|30g
242|178|25g
242|96|10g
242|29|10g
242|34|10g
242|26|6g
242|14|3g
243|1|60g
243|225|30g
243|29|7.5g
243|34|7.5g
243|4|5g
243|7|3g
243|127|2.5g
243|26|2g
243|19|1g
243|31|0.1g
244|1|80g
244|241|20g
244|29|20g
244|251|20g
244|178|10g
244|250|10g
244|34|10g
244|149|3g
244|15|2.5g
244|26|2g
244|20|1g
244|14|0.5g
244|31|0.1g
245|1|80g
245|11|50g
245|223|15g
245|29|15g
245|175|5g
245|127|3g
245|34|3g
245|190|2g
245|20|0.3g
245|19|0.3g
246|3|40g
246|1|35g
246|227|30g
246|29|10g
246|75|10g
246|143|5g
246|34|4g
246|4|3g
246|187|2g
246|190|1.5g
246|7|1.5g
246|127|1g
246|26|1g
246|99|0.5g
246|20|0.1g
246|14|0.1g
246|31|0.01g
247|1|45g
247|3|10g
247|213|5g
247|29|5g
247|34|5g
247|44|5g
247|209|3g
247|175|3g
247|229|1g
247|127|1g
247|26|1g
247|20|0.5g
248|1|40g
248|78|30g
248|143|10g
248|178|10g
248|114|10g
248|183|10g
248|34|10g
248|119|5g
248|44|2g
249|1|50g
249|155|25g
249|145|15g
249|196|15g
249|29|7g
249|7|4g
249|127|3g
249|99|1.5g
249|4|0.5g
249|19|0.5g
249|26|0.2g
249|222|0.1g
250|1|35g
250|252|12g
250|75|5g
250|83|3g
250|29|3g
250|34|3g
250|144|1g
250|187|1g
250|7|0.5g
250|210|0.5g
250|14|0.5g
250|26|0.3g
250|19|0.2g
251|1|90g
251|225|20g
251|215|15g
251|249|10g
251|96|10g
251|134|4g
252|1|65g
252|163|10g
252|253|10g
252|237|5g
252|127|2g
252|20|0.3g
253|1|50g
253|3|30g
253|193|15g
253|254|5g
253|127|2.5g
253|20|2g
254|1|65g
254|11|50g
254|223|15g
254|29|15g
254|175|5g
254|34|3g
254|190|2g
